Timestamp,Obj_Type,Obj_Radius,Ball_X,Ball_Y,Ball_Z,Palm_X,Palm_Y,Palm_Z,Palm_Rx,Palm_Ry,Palm_Rz,J0,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15
1774349030.0723584,sphere,0.033,-0.89861,0.23057,0.16200,-0.89861,0.23057,0.47819,-1.21839,-1.20313,1.22557,0.0000,0.1320,0.0990,0.0770,0.0000,0.1639,0.1229,0.0956,0.0000,0.1701,0.1275,0.0992,0.4756,0.0653,0.1305,0.1142
1774349058.5309386,sphere,0.033,-0.85938,-0.05417,0.16200,-0.85938,-0.05417,0.45982,-1.21835,-1.20327,1.22526,0.0000,0.1282,0.0962,0.0748,0.0000,0.1670,0.1252,0.0974,0.0000,0.1601,0.1201,0.0934,0.4829,0.0640,0.1280,0.1120
1774349126.5861273,sphere,0.033,-0.80090,0.07305,0.16200,-0.80090,0.07305,0.50802,-1.21805,-1.20266,1.22534,0.0000,0.1142,0.0856,0.0666,0.0000,0.1519,0.1139,0.0886,0.0000,0.1752,0.1314,0.1022,0.4551,0.0618,0.1237,0.1082
1774349156.0092587,sphere,0.033,-0.78010,0.14905,0.16200,-0.78010,0.14905,0.45682,-1.21805,-1.20266,1.22534,0.0000,0.1437,0.1077,0.0838,0.0000,0.1687,0.1265,0.0984,0.0000,0.1701,0.1275,0.0992,0.4918,0.0627,0.1255,0.1098
1774349184.0329618,sphere,0.033,-0.70012,0.05378,0.16200,-0.70012,0.05378,0.42398,-1.21797,-1.20296,1.22555,0.0000,0.1395,0.1047,0.0814,0.0000,0.1694,0.1270,0.0988,0.0000,0.1670,0.1252,0.0974,0.4949,0.0557,0.1113,0.0974
1774349202.4408858,sphere,0.033,-0.67007,0.03374,0.16200,-0.67007,0.03374,0.46687,-1.21797,-1.53296,1.22555,0.0000,0.1080,0.0810,0.0630,0.0000,0.1392,0.1044,0.0812,0.0000,0.1454,0.1090,0.0848,0.4497,0.0547,0.1095,0.0958
1774349275.909611,sphere,0.033,-0.77496,0.19030,0.16200,-0.77496,0.19030,0.45004,-1.21827,-1.56337,1.22513,0.0000,0.1025,0.0769,0.0598,0.0000,0.1392,0.1044,0.0812,0.0000,0.1683,0.1263,0.0982,0.4756,0.0544,0.1088,0.0952
1774349309.7234962,sphere,0.033,-0.86523,0.18096,0.16200,-0.86523,0.18096,0.48320,-1.21818,-1.39824,1.22513,0.0000,0.1056,0.0792,0.0616,0.0000,0.1375,0.1031,0.0802,0.0000,0.1310,0.0982,0.0764,0.4301,0.0520,0.1040,0.0910
1774349360.398881,sphere,0.033,-0.66982,-0.04693,0.16200,-0.66982,-0.04693,0.42858,-1.21842,-1.20318,1.22510,0.0000,0.1289,0.0967,0.0752,0.0000,0.1639,0.1229,0.0956,0.0000,0.1677,0.1257,0.0978,0.5176,0.0622,0.1243,0.1088
1774349398.939717,sphere,0.033,-0.67926,0.01679,0.16200,-0.67926,0.01679,0.43675,-1.21842,-1.98318,1.22510,0.0000,0.1173,0.0879,0.0684,0.0000,0.1310,0.0982,0.0764,0.0000,0.1879,0.1409,0.1096,0.4991,0.0551,0.1102,0.0964
